id,shortName,shortName_override,isLoop,longName_en,longName_en_override,longName_ka,longName_ka_override,longName_ru_override,dest0_en,dest0_en_override,dest0_ka,dest0_ka_override,dest0_ru_override,dest1_en,dest1_en_override,dest1_ka,dest1_ka_override,dest1_ru_override,invertDirection
1:R29934,332,,,Nutsubidze Plato M/D-4 - Station Square,,ნუცუბიძის პლატო IV მ/რ - სადგურის მოედანი,,,Nutsubidze M/D II-IV,,ნუცუბიძის II-IV მ/რ,,,Station Square 1,,სადგურის მოედანი 1,,,
1:R90569,333,,,Vazisubani M/D-2 - Tbilisi Mall,,ვაზისუბნის II მ/რ - თბილისი მოლი,,,Tbilisi Mall,,თბილისი მოლი,,,Vazisubani II M/D,,ვაზისუბნის II მ/რ,,,
1:R29973,334,,,Tskneti - M/S Delisi,,წყნეთი - მ/ს დელისი,,,M/S Delisi,,მ/ს დელისი,,,Tskneti,,წყნეთი,,,
1:R97690,335,,,"Gldani M/D VII,VIII - Didi Digomi M/D-4",,გლდანი VII - VIII მ/რ - დიდი დიღმის IV მ/რ,,,Didi Dighomi IV M/D,,დიდი დიღმის IV მ/რ,,,Gldani VII-VIII M/D,,გლდანის VII-VIII მ/რ,,,
1:R97702,336,,,Aviaqimia St (Lotkini) - Railway Crossing Bridge,,ავიაქიმიის ქ. (ლოტკინი) - გადასასვლელი ხიდი,,,Railway Bridge,,გადასასვლელი ხიდი,,,Aviakimia St (Lotkini),,ავიაქიმიის ქ.(ლოტკინი),,,
1:R97706,337,,,Station Square - Airport,,სადგურის მოედანი - აეროპორტი,,,Station Square 1,,სადგურის მოედანი 1,,,Airport ✈,,აეროპორტი ✈,,,
1:R97710,338,,true,Agrarian University - M/S Didube (Lower Exit),,აგრარული უნივერსიტეტი -  მ/ს დიდუბე (ქვედა),,,M/S Didube - Agrarian University,,მ/ს დიდუბე - აგრარული უნივერსიტეტი,,,DavitAghmashenebeli Alley13th Kilometer,,დავით აღმაშენებლის ხეივანი მე-13 კილომეტრი,,,
1:R44533,339,,true,Gldani VII-VIII M/D - M/S Akhmeteli Theatre,,გლდანის VII-VIII მ/რ - მ/ს ახმეტელის თეატრი,,,"M/S Akhmeteli - Gldani M/D VII,VIII",,მ/ს ახმეტელი-გლდანის VII-VIII მ/რ,,,Gldani Lake,,გლდანის ტბა,,,
1:R97718,340,,,Varketili Farming - Lobjanidze St (Isani),,ვარკეთილის მეურნეობა - ლობჟანიძის ქ. (ისანი),,,Varketili Farm,,ვარკეთილის მეურნეობა,,,Lobjanidze St (Isani),,ლობჟანიძის ქ.(ისანი),,,
1:R97722,341,,,Village Tsinubani - M/S Isani,,სოფელი წინუბანი - მ/ს ისანი,,,Tsinubani,,სოფ. წინუბანი,,,"""Isani"" M/S",,"მ/ს ""ისანი""",,,
1:R97726,342,,,Ikalto Hill - Baratashvili St,,იყალთოს გორა - ბარათაშვილის ქ.,,,Ikalto Hill,,იყალთოს გორა,,,Baratashvili St,,ბარათაშვილის ქ.,,,
1:R30721,343,,,Vazisubani M/D-2 - Zemo Ponichala,,ვაზისუბნის II მ/რ - ზემო ფონიჭალა,,,Zemo Ponichala,,ზემო ფონიჭალა,,,Vazisubani II M/D,,ვაზისუბნის II მ/რ,,,
1:R30746,344,,,Baratashvili St - Zemo Ponichala Settlement,,ბარათაშვილის ქ. - ზემო ფონიჭალის დასახლება,,,Zemo Ponichala,,ზემო ფონიჭალა,,,Baratashvili St,,ბარათაშვილის ქ.,,,
1:R32821,345,,,Kvemo Ponichala Settlement - Vake-Bagebi,,ქვემო ფონოჭალის დასახლება - ვაკე-ბაგები,,,Kvemo Ponichala,,ქვემო ფონიჭალა,,,Vake-Bagebi,,ვაკე-ბაგები,,,
1:R32831,346,,,Kvemo Ponichala Settlement - Hualing Tbilisi,,ქვემო ფონიჭალის დასახლება-ჰუალინგ თბილისი,,,Hualing Tbilisi,,ჰუალინგ თბილისი,,,Kvemo Ponichala,,ქვემო ფონიჭალა,,,
1:R98195,347,,,Nutsubidze M/D-1 - Station Square,,ნუცუბიძის I მ/რ - სადგურის მოედანი,,,Nucubidze I M/D,,ნუცუბიძის I მ/რ,,,Station Square 2,,სადგურის მოედანი 2,,,
1:R98450,348,,,Village Gldani - M/S  Akhmeteli Theatre,,სოფ. გლდანი - მ/ს ახმეტელის თეატრი,,,Gldani Village,,სოფ. გლდანი,,,M/S Akhmeteli Theatre,,მ/ს ახმეტელის თეატრი,,,
1:R98201,349,,,Nutsubidze Plato M/D-3 - Station Square,,ნუცუბიძის პლატო III მ/რ - სადგურის მოედანი,,,Nucubidze Plateau III M/D,,ნუცუბიძის პლატო III მ/რ,,,Station Square 1,,სადგურის მოედანი 1,,,
1:R98206,350,,,"Tbilisi Sea Plaza - Vazisubani M/D-3, BL-2 - Baratashvili St",,"თბილისის ზღვის პლაზა - ვაზისუბნის III მ/რ, II კვ. - ბარათაშვილის ქ.",,,Baratashvili St,,ბარათაშვილის ქ.,,,Tbilisi Sea Plaza,,თბილისის ზღვის პლაზა,,,
1:R98211,351,,,Gldani-Gldanula - Vake-Bagebi,,გლდანი-გლდანულა - ვაკე-ბაგები,,,Vake-Bagebi,,ვაკე-ბაგები,,,Gldani-Gldanula,,გლდანი-გლდანულა,,,true
1:R98221,352,,,Dolidze St - Baratashvili St,,დოლიძის ქ. - ბარათაშვილის ქ.,,,Dolidze St,,დოლიძის ქუჩა,,,Baratashvili St,,ბარათაშვილის ქ.,,,
1:R98227,353,,,Kukia - Station Square,,კუკია - სადგურის მოედანი,,,Tsaishi St (Kukia),,ცაიშის ქ. (კუკია),,,Station Square 1,,სადგურის მოედანი 1,,,
1:R97698,354,,,Station Square - Tskneti,,სადგურის მოედანი - წყნეთი,,,Tskneti,,წყნეთი,,,Station Square 1,,სადგურის მოედანი 1,,,
1:R98186,355,,,Village Gldani - M/S Akhmeteli Theatre,,სოფელი გლდანი - მ/ს ახმეტელის თეატრი,,,Village Gldani,,სოფელი გლდანი,,,M/S Akhmeteli Theatre,,მ/ს ახმეტელის თეატრი,,,
1:R98279,356,,,Orkhevi - M/S Isani,,ორხევი - მ/ს ისანი,,,Orkhevi,,ორხევი,,,"""Isani"" M/S",,"მ/ს ""ისანი""",,,
1:R98463,357,,true,Zahesi - M/S Didube  (Lower),,ზაჰესი - მ/ს დიდუბე (ქვედა),,,M/S Didube - Zahesi,,მ/ს დიდუბე-ზაჰესი,,,Freedom St #70,,თავისუფლების ქუჩა #70,,,
1:R98284,358,,,Nugzar Endeladze Square (Vake) - Baratashvili Str,,ნუგზარ ენდელაძის მ-ნი (ვაკე) - ბარათაშვილის ქუჩა,,,Nugzar Endeladze Square,,ნუგზარ ენდელაძის მ-ნი,,,Baratashvili St,,ბარათაშვილის ქ.,,,
