id,name_en,name_en_override,name_ka,name_ka_override,name_ru_override,lat,lat_override,lon,lon_override,rotation,rotation_override,mergeParent,hubTarget,vehicleMode_override,provider_override,gondolaInfo_override
1:20063,შატბერაშვილის ქუჩა #56,,შატბერაშვილის ქუჩა #56,,,41.702338,,44.769751,,44,,,,,,
1:20064,შატბერაშვილის ქუჩა #44,,შატბერაშვილის ქუჩა #44,,,41.70329,,44.771042,,55,,,,,,
1:20065,მარაბდის ქუჩა #20-22,,მარაბდის ქუჩა #20-22,,,41.703854,,44.773219,,70,,,,,,
1:20066,ქობულეთის ქუჩა #8,,ქობულეთის ქუჩა #8,,,41.704714,,44.774776,,64,,,,,,
1:20067,მრგვალი ბაღი,,მრგვალი ბაღი,,,41.706741,,44.775595,,311,,,,,,
1:20068,სოფელი ახალდაბა,,სოფელი ახალდაბა,,,41.684787,,44.663294,,184,,,,,,
1:20069,ფ. მოსულიშვილის ქუჩა,,ფ. მოსულიშვილის ქუჩა,,,41.796492,,44.811034,,130,,,,,,
1:20071,სამღერეთის ქუჩა #10,,სამღერეთის ქუჩა #10,,,41.732829,,44.821008,,267,,,,,,
1:20072,ჟღენტის ქუჩა #73,,ჟღენტის ქუჩა #73,,,41.733883,,44.814064,,71,,,,,,
1:20073,სამღერეთის ქუჩა #3,,სამღერეთის ქუჩა #3,,,41.732962,,44.818344,,114,,,,,,
1:20074,სამღერეთის ქუჩა #10 (მოპირდაპირედ),,სამღერეთის ქუჩა #10 (მოპირდაპირედ),,,41.732733,,44.820838,,96,,,,,,
1:20075,სამღერეთის ქუჩა #26 (მოპირდაპირედ),,სამღერეთის ქუჩა #26 (მოპირდაპირედ),,,41.732549,,44.823425,,100,,,,,,
1:20080,ჟღენტის ქუჩა #83,,ჟღენტის ქუჩა #83,,,41.733788,,44.814929,,113,,,,,,
1:20081,Airport Settlement Public School #76,,"აეროპორტის დასახლება, #76-ე საჯარო სკოლა",,,41.682882,,44.949475,,138,,,,,,
1:20082,"Airport Settlement, Shalva Chankotadze Street",,"აეროპორტის დასახლება, შალვა ჭანკოტაძის ქუჩა",,,41.683381,,44.952887,,356,,,,,,
