id,name_en,name_en_override,name_ka,name_ka_override,name_ru_override,lat,lat_override,lon,lon_override,rotation,rotation_override,mergeParent,hubTarget
1:1910,Davit Kvachantiradze St #5,Davit Kvachantiradze St #5,დავით კვაჭანტირაძის ქუჩა #5,დავით კვაჭანტირაძის ქუჩა #5,,41.694003,41.694003,44.855064,44.855064,121,,,
1:1911,Davit Kvachantiradze St #5,Davit Kvachantiradze St #5,დავით კვაჭანტირაძის ქუჩა #5,დავით კვაჭანტირაძის ქუჩა #5,,41.693995,41.693995,44.855308,44.855308,294,,,
1:1912,Public School #90,Public School #90,#90-ე საჯარო სკოლა,#90-ე საჯარო სკოლა,,41.694346,41.694346,44.858334,44.858334,342,,,
1:1913,Public School #90,Public School #90,#90-ე საჯარო სკოლა,#90-ე საჯარო სკოლა,,41.694281,41.694281,44.858248,44.858248,160,,,
1:1914,Cable Road Samgori - Vazisubani,Cable Road Samgori - Vazisubani,საბაგირო გზა სამგორი - ვაზისუბანი,საბაგირო გზა სამგორი - ვაზისუბანი,,41.69646,41.69646,44.855622,44.855622,276,,,
1:1915,Cable Road Samgori - Vazisubani,Cable Road Samgori - Vazisubani,საბაგირო გზა სამგორი - ვაზისუბანი,საბაგირო გზა სამგორი - ვაზისუბანი,,41.696376,41.696376,44.855571,44.855571,91,,,
1:1916,Niko Muskhelishvili St #3,Niko Muskhelishvili St #3,ნიკო მუსხელიშვილის ქუჩა #3,ნიკო მუსხელიშვილის ქუჩა #3,,41.696795,41.696795,44.853492,44.853492,325,,,
1:1917,Niko Muskhelishvili St #8,Niko Muskhelishvili St #8,ნიკო მუსხელიშვილის ქუჩა #8,ნიკო მუსხელიშვილის ქუჩა #8,,41.696613,41.696613,44.853527,44.853527,144,,,
1:1920,Shalva Mshvelidze Street #7,Shalva Mshvelidze Street #7,შალვა მშველიძის ქუჩა #7,შალვა მშველიძის ქუჩა #7,,41.699851,41.699851,44.849922,44.849922,145,,,
1:1922,Public School #92,Public School #92,#92-ე საჯარო სკოლა,#92-ე საჯარო სკოლა,,41.701295,41.701295,44.848584,44.848584,145,,,
1:1924,Shalva Mshvelidze St #15,Shalva Mshvelidze St #15,შალვა მშველიძის ქუჩა #15,შალვა მშველიძის ქუჩა #15,,41.703006,41.703006,44.84706,44.84706,325,,,
1:1926,Simon and Tina Kaukhchishvili Street,Simon and Tina Kaukhchishvili Street,სიმონ და თინა ყაუხჩიშვილების ქუჩა,სიმონ და თინა ყაუხჩიშვილების ქუჩა,,41.704353,41.704353,44.845113,44.845113,307,,,
1:1927,Simon and Tina Kaukhchishvili Street,Simon and Tina Kaukhchishvili Street,სიმონ და თინა ყაუხჩიშვილების ქუჩა,სიმონ და თინა ყაუხჩიშვილების ქუჩა,,41.704213,41.704213,44.84529,44.84529,110,,,
1:1932,Shota Mikatadze Street,Shota Mikatadze Street,შოთა მიქატაძის ქუჩა,შოთა მიქატაძის ქუჩა,,41.807922,41.807922,44.818882,44.818882,101,,,
1:1934,Gldaniskhevi Center,Gldaniskhevi Center,გლდანისხევის ცენტრი,გლდანისხევის ცენტრი,,41.812321,41.812321,44.818661,44.818661,26,,,
1:1935,Gldaniskhevi #8a,Gldaniskhevi #8a,გლდანისხევი #8ა,გლდანისხევი #8ა,,41.815658,41.815658,44.819943,44.819943,339,,,
1:1936,Kindergarten #186,Kindergarten #186,#186-ე ბაგა-ბაღი,#186-ე ბაგა-ბაღი,,41.815046,41.815046,44.817148,44.817148,221,,,
1:1937,Public School #59,Public School #59,#59-ე საჯარო სკოლა,#59-ე საჯარო სკოლა,,41.813271,41.813271,44.815215,44.815215,103,,,
1:1938,Kindergarten #186,Kindergarten #186,#186-ე ბაგა-ბაღი,#186-ე ბაგა-ბაღი,,41.815026,41.815026,44.817221,44.817221,42,,,
1:1939,Gldaniskhevi #8a,Gldaniskhevi #8a,გლდანისხევი #8ა,გლდანისხევი #8ა,,41.815636,41.815636,44.819879,44.819879,158,,,
1:1940,Gldaniskhevi Center,Gldaniskhevi Center,გლდანისხევის ცენტრი,გლდანისხევის ცენტრი,,41.812395,41.812395,44.818626,44.818626,206,,,
1:1941,Shota Mikatadze Street,Shota Mikatadze Street,შოთა მიქატაძის ქუჩა,შოთა მიქატაძის ქუჩა,,41.808141,41.808141,44.818209,44.818209,279,,,
1:1942,Public School #115,Public School #115,#115-ე საჯარო სკოლა,#115-ე საჯარო სკოლა,,41.806911,41.806911,44.82369,44.82369,117,,,
1:1944,Tskalsadeni Street,Tskalsadeni Street,წყალსადენის ქუჩა,წყალსადენის ქუჩა,,41.785745,41.785745,44.791684,44.791684,278,,,
1:1946,Dimitri Gulia Square,Dimitri Gulia Square,დიმიტრი გულიას მოედანი,დიმიტრი გულიას მოედანი,,41.675647,41.675647,44.828569,44.828569,294,,,
